model,exp(coef),lower .95,upper .95,p
exp.Basica,0.0262841364090939,-0.137425199651156,0.189993472469344,0.753
exp.Basicb,-0.889306887133657,-1.20642632998249,-0.572187444284827,<0.001
exp.Basicc,1.47870908731485,1.32067078304816,1.63674739158154,<0.001
exp.Basicd,0.737458731955844,0.652205059478636,0.822712404433053,<0.001
exp.detailedAda_days1_2,-0.0250695990998716,-0.279285952100789,0.229146753901046,0.847
exp.detailedAda_days3_14,0.0621634094480699,-0.148125890875482,0.272452709771622,0.562
exp.detailedAdb,-0.888205581264732,-1.20535839598456,-0.571052766544902,<0.001
exp.detailedAdc,1.47826367092272,1.32021156057648,1.63631578126896,<0.001
exp.detailedAdd,0.737392853029621,0.652137968002994,0.822647738056249,<0.001
exp.AcutePsycha_acute,0.119532225553805,-0.057087801611025,0.296152252718635,0.185
exp.AcutePsycha_psych,-0.440487024672985,-0.872363951644073,-0.00861009770189674,0.046
exp.AcutePsychb_acute,-0.776264461599016,-1.28513381673237,-0.267395106465662,0.003
exp.AcutePsychb_psych,-0.963360334879907,-1.36816633429444,-0.558554335465371,<0.001
exp.AcutePsychc_acute,1.41035752332667,1.2431495103973,1.57756553625603,<0.001
exp.AcutePsychc_psych,2.07589686098305,1.58664242224776,2.56515129971835,<0.001
exp.AcutePsychd_acute,0.730882281375307,0.641203381882962,0.820561180867652,<0.001
exp.AcutePsychd_psych,0.79545407630013,0.542977655221559,1.0479304973787,<0.001
exp.Damaa,0.0253187594037927,-0.138413800079347,0.189051318886932,0.762
exp.Damab,-0.887314848279906,-1.20435316586146,-0.570276530698351,<0.001
exp.Damac_normal,1.3851029166323,1.21463923138724,1.55556660187736,<0.001
exp.Damac_dama,2.06440218295588,1.64176935577285,2.4870350101389,<0.001
exp.Damad_normal,0.682588229461761,0.591928362425663,0.773248096497859,<0.001
exp.Damad_dama,1.15036311453954,0.922441658709378,1.37828457036971,<0.001
exp.Lengtha,0.0274535159954011,-0.136321060478678,0.19122809246948,0.742
exp.Lengthb,-0.877161470222348,-1.19439772555209,-0.559925214892606,<0.001
exp.Lengthc_1day,1.14256414500238,0.861044268203744,1.42408402180101,<0.001
exp.Lengthc_2to6days,1.551415446212,1.32975110104805,1.77307979137595,<0.001
exp.Lengthc_7plusDays,1.82994252527324,1.47836076237724,2.18152428816924,<0.001
exp.Lengthd_1day,0.59890523876639,0.454896713773022,0.742913763759758,<0.001
exp.Lengthd_2to6days,0.800423014490307,0.675553982319334,0.92529204666128,<0.001
exp.Lengthd_7plusDays,0.82178061269154,0.653043502670209,0.99051772271287,<0.001
